variable,value,node_type_info
M_node2node119_timber_t3,1.0,node2transit_node119source
M_node2node119_timber_t4,1.0,node2transit_node119source
M_node3node119_wide_t3,1.0,node3transit_node119source
M_node3node119_wide_t4,1.0,node3transit_node119source
M_node3node119_wide_t5,1.0,node3transit_node119source
M_node3node122_timber_t2,1.0,node3transit_node122source
M_node3node122_timber_t3,1.0,node3transit_node122source
M_node3node122_timber_t4,1.0,node3transit_node122source
M_node3node123_timber_t2,1.0,node3transit_node123source
M_node3node123_timber_t3,1.0,node3transit_node123source
M_node3node123_timber_t4,1.0,node3transit_node123source
M_node3node123_timber_t5,1.0,node3transit_node123source
M_node4node88_timber_t2,1.0,node4transit_node88transit
M_node4node88_timber_t3,1.0,node4transit_node88transit
M_node4node88_timber_t4,1.0,node4transit_node88transit
M_node4node88_timber_t5,1.0,node4transit_node88transit
M_node4node133_timber_t2,1.0,node4transit_node133source
M_node4node133_timber_t3,1.0,node4transit_node133source
M_node4node133_timber_t4,1.0,node4transit_node133source
M_node4node133_timber_t5,1.0,node4transit_node133source
M_node4node137_timber_t2,1.0,node4transit_node137source
M_node4node137_timber_t3,1.0,node4transit_node137source
M_node4node137_timber_t4,1.0,node4transit_node137source
M_node4node137_timber_t5,1.0,node4transit_node137source
M_node5node20_timber_t2,1.0,node5transit_node20transit
M_node5node20_timber_t3,1.0,node5transit_node20transit
M_node5node20_timber_t4,1.0,node5transit_node20transit
M_node5node20_timber_t5,1.0,node5transit_node20transit
M_node5node35_timber_t2,1.0,node5transit_node35transit
M_node5node35_timber_t3,1.0,node5transit_node35transit
M_node5node35_timber_t4,1.0,node5transit_node35transit
M_node5node35_timber_t5,1.0,node5transit_node35transit
M_node5node145_timber_t2,1.0,node5transit_node145source
M_node5node145_timber_t3,1.0,node5transit_node145source
M_node5node145_timber_t4,1.0,node5transit_node145source
M_node5node145_timber_t5,1.0,node5transit_node145source
M_node6node140_timber_t2,1.0,node6transit_node140source
M_node6node140_timber_t3,1.0,node6transit_node140source
M_node6node140_timber_t4,1.0,node6transit_node140source
M_node6node140_timber_t5,1.0,node6transit_node140source
M_node7node58_timber_t2,1.0,node7transit_node58transit
M_node7node58_timber_t3,1.0,node7transit_node58transit
M_node7node58_timber_t4,1.0,node7transit_node58transit
M_node7node58_timber_t5,1.0,node7transit_node58transit
M_node7node115_timber_t2,1.0,node7transit_node115exit
M_node7node115_timber_t3,1.0,node7transit_node115exit
M_node7node115_timber_t4,1.0,node7transit_node115exit
M_node7node115_timber_t5,1.0,node7transit_node115exit
M_node8node18_timber_t2,1.0,node8transit_node18transit
M_node8node18_timber_t3,1.0,node8transit_node18transit
M_node8node18_timber_t4,1.0,node8transit_node18transit
M_node8node18_timber_t5,1.0,node8transit_node18transit
M_node8node132_wide_t5,1.0,node8transit_node132source
M_node8node139_timber_t2,1.0,node8transit_node139source
M_node8node139_timber_t3,1.0,node8transit_node139source
M_node8node139_timber_t4,1.0,node8transit_node139source
M_node8node139_timber_t5,1.0,node8transit_node139source
M_node8node140_timber_t2,1.0,node8transit_node140source
M_node8node140_timber_t3,1.0,node8transit_node140source
M_node8node140_timber_t4,1.0,node8transit_node140source
M_node8node141_timber_t2,1.0,node8transit_node141source
M_node8node141_timber_t3,1.0,node8transit_node141source
M_node8node141_timber_t4,1.0,node8transit_node141source
M_node8node141_timber_t5,1.0,node8transit_node141source
M_node10node129_timber_t4,1.0,node10transit_node129source
M_node10node138_timber_t2,1.0,node10transit_node138source
M_node10node138_timber_t3,1.0,node10transit_node138source
M_node10node138_timber_t4,1.0,node10transit_node138source
M_node10node142_timber_t2,1.0,node10transit_node142source
M_node10node142_timber_t3,1.0,node10transit_node142source
M_node10node142_wide_t5,1.0,node10transit_node142source
M_node11node143_timber_t2,1.0,node11transit_node143source
M_node11node143_timber_t3,1.0,node11transit_node143source
M_node11node143_wide_t5,1.0,node11transit_node143source
M_node12node64_timber_t2,1.0,node12transit_node64transit
M_node12node64_timber_t3,1.0,node12transit_node64transit
M_node12node64_timber_t4,1.0,node12transit_node64transit
M_node12node64_timber_t5,1.0,node12transit_node64transit
M_node12node36_timber_t2,1.0,node12transit_node36transit
M_node12node36_timber_t3,1.0,node12transit_node36transit
