variable,coefficient,type,prefix,width,edge,period
C_node4node92_timber_t3,1037.98,B,C,timber,,3
C_node4node92_timber_t4,735.84,B,C,timber,,4
C_node4node92_timber_t5,521.65,B,C,timber,,5
C_node4node92_wide_t0,3678.0,B,C,wide,,0
C_node4node92_wide_t1,3096.78,B,C,wide,,1
C_node4node92_wide_t2,2195.36,B,C,wide,,2
C_node4node92_wide_t3,1556.33,B,C,wide,,3
C_node4node92_wide_t4,1103.31,B,C,wide,,4
C_node4node92_wide_t5,782.16,B,C,wide,,5
C_node4node193_timber_t0,0.0,B,C,timber,,0
C_node4node193_timber_t1,0.0,B,C,timber,,1
C_node4node193_timber_t2,0.0,B,C,timber,,2
C_node4node193_timber_t3,0.0,B,C,timber,,3
C_node4node193_timber_t4,0.0,B,C,timber,,4
C_node4node193_timber_t5,0.0,B,C,timber,,5
C_node4node193_wide_t0,0.0,B,C,wide,,0
C_node4node193_wide_t1,0.0,B,C,wide,,1
C_node4node193_wide_t2,0.0,B,C,wide,,2
C_node4node193_wide_t3,0.0,B,C,wide,,3
C_node4node193_wide_t4,0.0,B,C,wide,,4
C_node4node193_wide_t5,0.0,B,C,wide,,5
C_node4node195_timber_t0,0.0,B,C,timber,,0
C_node4node195_timber_t1,0.0,B,C,timber,,1
C_node4node195_timber_t2,0.0,B,C,timber,,2
C_node4node195_timber_t3,0.0,B,C,timber,,3
C_node4node195_timber_t4,0.0,B,C,timber,,4
C_node4node195_timber_t5,0.0,B,C,timber,,5
C_node4node195_wide_t0,0.0,B,C,wide,,0
C_node4node195_wide_t1,0.0,B,C,wide,,1
C_node4node195_wide_t2,0.0,B,C,wide,,2
C_node4node195_wide_t3,0.0,B,C,wide,,3
C_node4node195_wide_t4,0.0,B,C,wide,,4
C_node4node195_wide_t5,0.0,B,C,wide,,5
C_node4node196_timber_t0,0.0,B,C,timber,,0
C_node4node196_timber_t1,0.0,B,C,timber,,1
C_node4node196_timber_t2,0.0,B,C,timber,,2
C_node4node196_timber_t3,0.0,B,C,timber,,3
C_node4node196_timber_t4,0.0,B,C,timber,,4
C_node4node196_timber_t5,0.0,B,C,timber,,5
C_node4node196_wide_t0,0.0,B,C,wide,,0
C_node4node196_wide_t1,0.0,B,C,wide,,1
C_node4node196_wide_t2,0.0,B,C,wide,,2
C_node4node196_wide_t3,0.0,B,C,wide,,3
C_node4node196_wide_t4,0.0,B,C,wide,,4
C_node4node196_wide_t5,0.0,B,C,wide,,5
C_node5node83_timber_t0,717.0,B,C,timber,,0
C_node5node83_timber_t1,603.69,B,C,timber,,1
C_node5node83_timber_t2,427.97,B,C,timber,,2
C_node5node83_timber_t3,303.4,B,C,timber,,3
C_node5node83_timber_t4,215.08,B,C,timber,,4
C_node5node83_timber_t5,152.48,B,C,timber,,5
C_node5node83_wide_t0,1076.0,B,C,wide,,0
C_node5node83_wide_t1,905.96,B,C,wide,,1
C_node5node83_wide_t2,642.25,B,C,wide,,2
C_node5node83_wide_t3,455.31,B,C,wide,,3
C_node5node83_wide_t4,322.78,B,C,wide,,4
C_node5node83_wide_t5,228.82,B,C,wide,,5
