variable,coefficient,type,prefix,width,edge,period
C_node6node16_wide_t0,8704.0,B,C,wide,,0
C_node6node16_wide_t1,7328.53,B,C,wide,,1
C_node6node16_wide_t2,5195.34,B,C,wide,,2
C_node6node16_wide_t3,3683.07,B,C,wide,,3
C_node6node16_wide_t4,2611.0,B,C,wide,,4
C_node6node16_wide_t5,1850.99,B,C,wide,,5
C_node6node61_timber_t0,0.0,B,C,timber,,0
C_node6node61_timber_t1,0.0,B,C,timber,,1
C_node6node61_timber_t2,0.0,B,C,timber,,2
C_node6node61_timber_t3,0.0,B,C,timber,,3
C_node6node61_timber_t4,0.0,B,C,timber,,4
C_node6node61_timber_t5,0.0,B,C,timber,,5
C_node6node61_wide_t0,0.0,B,C,wide,,0
C_node6node61_wide_t1,0.0,B,C,wide,,1
C_node6node61_wide_t2,0.0,B,C,wide,,2
C_node6node61_wide_t3,0.0,B,C,wide,,3
C_node6node61_wide_t4,0.0,B,C,wide,,4
C_node6node61_wide_t5,0.0,B,C,wide,,5
C_node6node62_timber_t0,0.0,B,C,timber,,0
C_node6node62_timber_t1,0.0,B,C,timber,,1
C_node6node62_timber_t2,0.0,B,C,timber,,2
C_node6node62_timber_t3,0.0,B,C,timber,,3
C_node6node62_timber_t4,0.0,B,C,timber,,4
C_node6node62_timber_t5,0.0,B,C,timber,,5
C_node6node62_wide_t0,0.0,B,C,wide,,0
C_node6node62_wide_t1,0.0,B,C,wide,,1
C_node6node62_wide_t2,0.0,B,C,wide,,2
C_node6node62_wide_t3,0.0,B,C,wide,,3
C_node6node62_wide_t4,0.0,B,C,wide,,4
C_node6node62_wide_t5,0.0,B,C,wide,,5
C_node6node67_timber_t0,0.0,B,C,timber,,0
C_node6node67_timber_t1,0.0,B,C,timber,,1
C_node6node67_timber_t2,0.0,B,C,timber,,2
C_node6node67_timber_t3,0.0,B,C,timber,,3
C_node6node67_timber_t4,0.0,B,C,timber,,4
C_node6node67_timber_t5,0.0,B,C,timber,,5
C_node6node67_wide_t0,0.0,B,C,wide,,0
C_node6node67_wide_t1,0.0,B,C,wide,,1
C_node6node67_wide_t2,0.0,B,C,wide,,2
C_node6node67_wide_t3,0.0,B,C,wide,,3
C_node6node67_wide_t4,0.0,B,C,wide,,4
C_node6node67_wide_t5,0.0,B,C,wide,,5
C_node7node46_timber_t0,375.0,B,C,timber,,0
C_node7node46_timber_t1,315.74,B,C,timber,,1
C_node7node46_timber_t2,223.83,B,C,timber,,2
C_node7node46_timber_t3,158.68,B,C,timber,,3
C_node7node46_timber_t4,112.49,B,C,timber,,4
C_node7node46_timber_t5,79.75,B,C,timber,,5
C_node7node46_wide_t0,563.0,B,C,wide,,0
C_node7node46_wide_t1,474.03,B,C,wide,,1
C_node7node46_wide_t2,336.05,B,C,wide,,2
C_node7node46_wide_t3,238.23,B,C,wide,,3
C_node7node46_wide_t4,168.89,B,C,wide,,4
C_node7node46_wide_t5,119.73,B,C,wide,,5
C_node7node28_timber_t0,2706.0,B,C,timber,,0
C_node7node28_timber_t1,2278.38,B,C,timber,,1
C_node7node28_timber_t2,1615.19,B,C,timber,,2
C_node7node28_timber_t3,1145.04,B,C,timber,,3
C_node7node28_timber_t4,811.74,B,C,timber,,4
C_node7node28_timber_t5,575.46,B,C,timber,,5
C_node7node28_wide_t0,4059.0,B,C,wide,,0
C_node7node28_wide_t1,3417.57,B,C,wide,,1
C_node7node28_wide_t2,2422.78,B,C,wide,,2
C_node7node28_wide_t3,1717.55,B,C,wide,,3
C_node7node28_wide_t4,1217.61,B,C,wide,,4
C_node7node28_wide_t5,863.18,B,C,wide,,5
C_node7node63_timber_t0,0.0,B,C,timber,,0
C_node7node63_timber_t1,0.0,B,C,timber,,1
C_node7node63_timber_t2,0.0,B,C,timber,,2
C_node7node63_timber_t3,0.0,B,C,timber,,3
C_node7node63_timber_t4,0.0,B,C,timber,,4
C_node7node63_timber_t5,0.0,B,C,timber,,5
C_node7node63_wide_t0,0.0,B,C,wide,,0
C_node7node63_wide_t1,0.0,B,C,wide,,1
C_node7node63_wide_t2,0.0,B,C,wide,,2
C_node7node63_wide_t3,0.0,B,C,wide,,3
C_node7node63_wide_t4,0.0,B,C,wide,,4
C_node7node63_wide_t5,0.0,B,C,wide,,5
C_node7node66_timber_t0,0.0,B,C,timber,,0
C_node7node66_timber_t1,0.0,B,C,timber,,1
C_node7node66_timber_t2,0.0,B,C,timber,,2
C_node7node66_timber_t3,0.0,B,C,timber,,3
C_node7node66_timber_t4,0.0,B,C,timber,,4
C_node7node66_timber_t5,0.0,B,C,timber,,5
C_node7node66_wide_t0,0.0,B,C,wide,,0
C_node7node66_wide_t1,0.0,B,C,wide,,1
C_node7node66_wide_t2,0.0,B,C,wide,,2
C_node7node66_wide_t3,0.0,B,C,wide,,3
C_node7node66_wide_t4,0.0,B,C,wide,,4
C_node7node66_wide_t5,0.0,B,C,wide,,5
C_node8node26_timber_t0,872.0,B,C,timber,,0
C_node8node26_timber_t1,734.2,B,C,timber,,1
C_node8node26_timber_t2,520.49,B,C,timber,,2
C_node8node26_timber_t3,368.98,B,C,timber,,3
C_node8node26_timber_t4,261.58,B,C,timber,,4
C_node8node26_timber_t5,185.44,B,C,timber,,5
C_node8node26_wide_t0,1308.0,B,C,wide,,0
C_node8node26_wide_t1,1101.3,B,C,wide,,1
C_node8node26_wide_t2,780.73,B,C,wide,,2
C_node8node26_wide_t3,553.48,B,C,wide,,3
C_node8node26_wide_t4,392.37,B,C,wide,,4
C_node8node26_wide_t5,278.16,B,C,wide,,5
C_node8node25_timber_t0,3283.0,B,C,timber,,0
C_node8node25_timber_t1,2764.2,B,C,timber,,1
C_node8node25_timber_t2,1959.59,B,C,timber,,2
C_node8node25_timber_t3,1389.19,B,C,timber,,3
C_node8node25_timber_t4,984.82,B,C,timber,,4
C_node8node25_timber_t5,698.16,B,C,timber,,5
C_node8node25_wide_t0,4923.0,B,C,wide,,0
C_node8node25_wide_t1,4145.03,B,C,wide,,1
C_node8node25_wide_t2,2938.49,B,C,wide,,2
